BrierRandom,QuestionId,sample,RepRandom,best
0.614074792549309,2,1,-0.5,5
0.614074792549309,2,2,-0.5,5
0.614074792549309,2,3,-0.5,5
0.614074792549309,2,4,-0.5,5
0.614074792549309,2,5,-0.5,5
0.614074792549309,2,6,-0.5,5
0.614074792549309,2,7,-0.5,5
0.614074792549309,2,8,-0.5,5
0.614074792549309,2,9,-0.5,5
0.614074792549309,2,10,-0.5,5
0.0149814921779791,5,1,-0.5,5
0.00188217173055919,5,2,-0.5,5
0.011312861184091,5,3,-0.5,5
0.0296422358422478,5,4,-0.5,5
0.00246719629774353,5,5,-0.48549488968,5
0.0537295172767228,5,6,-0.50200511032,5
0.00425170887680087,5,7,-0.5,5
0.00814352285500123,5,8,-0.5,5
0.0300087058235198,5,9,-0.5,5
0.0277323035978586,5,10,-0.5,5
0.0510599305394276,6,1,-0.5,5
0.0716352353861457,6,2,-0.5,5
0.0913707575689227,6,3,-0.5,5
0.0750668300162942,6,4,-0.5,5
0.081792713989363,6,5,-0.5,5
0.0866538932230597,6,6,-0.5,5
0.0913707575689227,6,7,-0.5,5
0.0517821492659633,6,8,-0.5,5
0.0602960783634214,6,9,-0.5,5
0.0899634503677804,6,10,-0.5,5
0.0231524406344662,16,1,-0.5,5
0.0231524406344662,16,2,-0.5,5
0.0231524406344662,16,3,-0.5,5
0.0231524406344662,16,4,-0.5,5
0.0231524406344662,16,5,-0.5,5
0.0231524406344662,16,6,-0.5,5
0.0231524406344662,16,7,-0.5,5
0.0231524406344662,16,8,-0.5,5
0.0231524406344662,16,9,-0.5,5
0.0231524406344662,16,10,-0.5,5
0.0220465273823958,22,1,-0.5,5
0.0378799369467819,22,2,-0.5,5
0.0288674153572558,22,3,-0.5,5
0.0287902164912717,22,4,-0.5,5
0.0292049521516946,22,5,-0.5,5
0.02184128857485,22,6,-0.5,5
0.030391378661115,22,7,-0.5,5
0.0275372317795449,22,8,-0.5,5
0.0304304096161944,22,9,-0.5,5
0.0304304096161944,22,10,-0.5,5
0.285216400080159,23,1,-0.5,5
0.285216400080159,23,2,-0.5,5
0.285216400080159,23,3,-0.5,5
0.285216400080159,23,4,-0.5,5
0.285216400080159,23,5,-0.5,5
0.285216400080159,23,6,-0.5,5
0.285216400080159,23,7,-0.5,5
0.285216400080159,23,8,-0.5,5
0.285216400080159,23,9,-0.5,5
0.285216400080159,23,10,-0.5,5
0.522471815978945,24,1,-0.4875,5
0.669664292241141,24,2,-0.50200511032,5
0.703523928879344,24,3,-0.48549488968,5
0.512480725108645,24,4,-0.48549488968,5
0.533819733850478,24,5,-0.50200511032,5
0.650429900830106,24,6,-0.5,5
0.585541449854478,24,7,-0.50200511032,5
0.574595983317866,24,8,-0.5,5
0.76194240031445,24,9,-0.50200511032,5
0.567161568431816,24,10,-0.50200511032,5
0.139653476621133,31,1,-0.5,5
0.139653476621133,31,2,-0.5,5
0.139653476621133,31,3,-0.5,5
0.139653476621133,31,4,-0.5,5
0.139653476621133,31,5,-0.5,5
0.139653476621133,31,6,-0.5,5
0.139653476621133,31,7,-0.5,5
0.139653476621133,31,8,-0.5,5
0.139653476621133,31,9,-0.5,5
0.139653476621133,31,10,-0.5,5
0.139467520028921,32,1,-0.5,5
0.0997094287612803,32,2,-0.5,5
0.0962037375770359,32,3,-0.5,5
0.10400150494273,32,4,-0.5,5
0.0962037375770359,32,5,-0.5,5
0.140991290561473,32,6,-0.5,5
0.0757661404283913,32,7,-0.5,5
0.101643180445027,32,8,-0.5,5
0.0985168371154061,32,9,-0.5,5
0.109328132460847,32,10,-0.5,5
0.0530006721868489,36,1,-0.5,5
0.0591891902184102,36,2,-0.5,5
0.0632332885246603,36,3,-0.5,5
0.0581211375504621,36,4,-0.5,5
0.0585634624254163,36,5,-0.5,5
0.0486841226994556,36,6,-0.5,5
0.0508362595361938,36,7,-0.5,5
0.0443704245168595,36,8,-0.5,5
0.0627635953282239,36,9,-0.5,5
0.0443704245168595,36,10,-0.5,5
0.000820609129523981,37,1,-0.5,5
0.000820609129523981,37,2,-0.5,5
0.00162878331386689,37,3,-0.5,5
0.000868058121523776,37,4,-0.5,5
0.000531010984839897,37,5,-0.5,5
0.00190925649289636,37,6,-0.5,5
0.00110677740105689,37,7,-0.5,5
0.000597147920910827,37,8,-0.5,5
0.000497214237895956,37,9,-0.5,5
0.000879348214056312,37,10,-0.5,5
0.0155039711631181,38,1,-0.5,5
0.0141352516534846,38,2,-0.5,5
0.0222009268345194,38,3,-0.5,5
0.0152706004577869,38,4,-0.5,5
0.0167341241828513,38,5,-0.5,5
0.0225809029097942,38,6,-0.5,5
0.0144339460058902,38,7,-0.5,5
0.0165520822943083,38,8,-0.5,5
0.0214659949680789,38,9,-0.5,5
0.0221773039349379,38,10,-0.5,5
0.0428224974910439,41,1,-0.5,5
0.0233685186579753,41,2,-0.5,5
0.0409198804544126,41,3,-0.5,5
0.0317778592631911,41,4,-0.5,5
0.044408115214807,41,5,-0.5,5
0.0111072258442756,41,6,-0.5,5
0.0402198221898275,41,7,-0.5,5
0.0391014348808857,41,8,-0.5,5
0.0165300717216342,41,9,-0.5,5
0.0308884187439588,41,10,-0.5,5
0.431198584113167,43,1,-0.5,5
0.429665135187475,43,2,-0.5,5
0.431051151844011,43,3,-0.48549488968,5
0.433493075270542,43,4,-0.5,5
0.44551946640056,43,5,-0.5,5
0.428253614135177,43,6,-0.48549488968,5
0.416378502591739,43,7,-0.5,5
0.454714933284666,43,8,-0.48549488968,5
0.468378858738613,43,9,-0.50200511032,5
0.42629832394645,43,10,-0.5,5
0.435453446756343,44,1,-0.5,5
0.476920907260523,44,2,-0.5,5
0.425479597708088,44,3,-0.4875,5
0.486115935262831,44,4,-0.5,5
0.414352514912276,44,5,-0.5,5
0.425531455285775,44,6,-0.50200511032,5
0.326611022009674,44,7,-0.48549488968,5
0.481683162982486,44,8,-0.50200511032,5
0.406506785579135,44,9,-0.48549488968,5
0.493528855085009,44,10,-0.5,5
0.431598373279172,45,1,-0.4875,5
0.346577990568138,45,2,-0.4875,5
0.287266064638798,45,3,-0.48549488968,5
0.295049133461023,45,4,-0.48549488968,5
0.274414875935686,45,5,-0.5,5
0.279281434772541,45,6,-0.4875,5
0.266293984769332,45,7,-0.5,5
0.338833576706356,45,8,-0.50200511032,5
0.238150045264961,45,9,-0.5,5
0.333597092646916,45,10,-0.48549488968,5
0.127284389670137,46,1,-0.50200511032,5
0.0914441408480426,46,2,-0.5,5
0.0867474067414785,46,3,-0.5,5
0.0853339608611855,46,4,-0.50200511032,5
0.102397381139218,46,5,-0.5,5
0.146950332698878,46,6,-0.5,5
0.107947296272835,46,7,-0.5,5
0.0617084060290799,46,8,-0.4875,5
0.0815085204288537,46,9,-0.50200511032,5
0.1217876155082,46,10,-0.5,5
0.226826702997325,47,1,-0.4875,5
0.283823927542997,47,2,-0.48549488968,5
0.222436037412595,47,3,-0.50200511032,5
0.196120836148192,47,4,-0.48549488968,5
0.235960786843745,47,5,-0.5,5
0.267538071621344,47,6,-0.48549488968,5
0.233921884904275,47,7,-0.50200511032,5
0.238119696861729,47,8,-0.48549488968,5
0.165162831923905,47,9,-0.50200511032,5
0.229723459328799,47,10,-0.5,5
0.0187925613647563,48,1,-0.4875,5
0.018806325118988,48,2,-0.48549488968,5
0.0332826497982824,48,3,-0.4875,5
0.0553138061485445,48,4,-0.50200511032,5
0.0353873114212657,48,5,-0.48549488968,5
0.0457918308729105,48,6,-0.50200511032,5
0.0373531772922306,48,7,-0.50200511032,5
0.0186532915724418,48,8,-0.5,5
0.0553138061485445,48,9,-0.50200511032,5
