BrierRandom,QuestionId,sample,RepRandom
0.0123944494284719,65,1,-0.475868430183333
0.0123944494284719,65,2,-0.475868430183333
0.0123944494284719,65,3,-0.475868430183333
0.0123944494284719,65,4,-0.475868430183333
0.0123944494284719,65,5,-0.475868430183333
0.0123944494284719,65,6,-0.475868430183333
0.0123944494284719,65,7,-0.475868430183333
0.0123944494284719,65,8,-0.475868430183333
0.0123944494284719,65,9,-0.475868430183333
0.0123944494284719,65,10,-0.475868430183333
0.0842905996285227,66,1,-0.17300010428
0.0721218449263748,66,2,-0.18725636736
0.0666839644155414,66,3,-0.19716189776
0.0524350395461614,66,4,-0.180819313593333
0.0691391374545436,66,5,-0.208004557256667
0.0881444415349443,66,6,-0.210473934576667
0.0664314702729777,66,7,-0.223870740653333
0.0721957674311025,66,8,-0.238266618863333
0.060939008394283,66,9,-0.1901149129
0.0738736495631866,66,10,-0.174912705116667
0.317480486730921,109,1,-0.481704448226667
0.336123754519702,109,2,-0.481704448226667
0.271985882815553,109,3,-0.485205407
0.269157312259171,109,4,-0.481704448226667
0.269578438613661,109,5,-0.481704448226667
0.358631487923967,109,6,-0.485205407
0.278641829469282,109,7,-0.481370263173333
0.268411148005669,109,8,-0.481704448226667
0.352614583919325,109,9,-0.481704448226667
0.30676191259507,109,10,-0.481370263173333
0.0992347728800209,110,1,-0.452122548713333
0.094451106211006,110,2,-0.462337726963333
0.0850833353460379,110,3,-0.473340935276667
0.0877328246224606,110,4,-0.46042127369
0.0984213908286381,110,5,-0.4628618769
0.0984086373571967,110,6,-0.46365945375
0.0946384244025285,110,7,-0.459317078616667
0.0839582216216136,110,8,-0.477714065236667
0.0905709087890116,110,9,-0.46666216714
0.0960183975321352,110,10,-0.447641206946667
0.159711295146576,112,1,-0.47703660743
0.170829099348824,112,2,-0.478488131276667
0.145635715356093,112,3,-0.475868430183333
0.121906872560945,112,4,-0.482471715796667
0.142644867266162,112,5,-0.484723900133333
0.155371794758317,112,6,-0.47911648277
0.135380378596434,112,7,-0.48177429315
0.149738617616196,112,8,-0.479428648656667
0.162492498064731,112,9,-0.47911648277
0.149739146815287,112,10,-0.485363918823333
0.0554692999003437,126,1,-0.486464532926667
0.0647140882757385,126,2,-0.484271886886667
0.0600153697966329,126,3,-0.477542777763333
0.0419122176447388,126,4,-0.49102957028
0.0559918207669123,126,5,-0.480456493676667
0.0682093166507879,126,6,-0.48394774849
0.0539604746735753,126,7,-0.480606639973333
0.0421761132626348,126,8,-0.48358609796
0.0523021561539029,126,9,-0.48569430871
0.0538314500442197,126,10,-0.4768019355
0.170297624010746,127,1,-0.474772802716667
0.173765072081337,127,2,-0.47843913577
0.170351766111807,127,3,-0.47240308505
0.17305138296718,127,4,-0.47240308505
0.171496990746294,127,5,-0.482579456813333
0.177590171813389,127,6,-0.473824168483333
0.173776702616554,127,7,-0.47843913577
0.178598294260518,127,8,-0.48086363571
0.178810983500876,127,9,-0.473824168483333
0.172601989664682,127,10,-0.468398157916667
0.323515326616883,129,1,-0.47240308505
0.323515326616883,129,2,-0.47240308505
0.323515326616883,129,3,-0.47240308505
0.323515326616883,129,4,-0.47240308505
0.323515326616883,129,5,-0.47240308505
0.323515326616883,129,6,-0.47240308505
0.323515326616883,129,7,-0.47240308505
0.323515326616883,129,8,-0.47240308505
0.323515326616883,129,9,-0.47240308505
0.323515326616883,129,10,-0.47240308505
0.248016439582572,130,1,-0.467205970743333
0.244728980952742,130,2,-0.470247303796667
0.243730988518383,130,3,-0.464836253076667
0.251218529896424,130,4,-0.468217742446667
0.248124684864702,130,5,-0.464836253076667
0.248594640501099,130,6,-0.464836253076667
0.251130348754636,130,7,-0.470872303796667
0.248517000765177,130,8,-0.467944822203333
0.251127866505705,130,9,-0.464836253076667
0.250872310354552,130,10,-0.463255825883333
0.0452624767051272,131,1,-0.294535788703333
0.0534751178056392,131,2,-0.29333733067
